,SampleID,CPB2+Proteomics,C1QA+Proteomics,ATP11B+Proteomics,VTN+Proteomics,C8G+Proteomics,MMRN1+Proteomics,MBL2+Proteomics,SERPINA3+Proteomics,CD44+Proteomics,C9+Proteomics,APOC4+Proteomics,HPX+Proteomics,PFN1+Proteomics,RBP4+Proteomics,C1QB+Proteomics,SERPINF1+Proteomics,C5+Proteomics,SERPINA5+Proteomics,NPHP3+Proteomics,APOC1+Proteomics,MGP+Proteomics,F9+Proteomics,ACTBL2+Proteomics,AMBP+Proteomics,TFRC+Proteomics,CFH+Proteomics,IGFALS+Proteomics,APOC2+Proteomics,CPN2+Proteomics,PROS1+Proteomics,C4BPA+Proteomics,ILK+Proteomics,SERPINC1+Proteomics,A1BG+Proteomics,C8A+Proteomics,FGG+Proteomics,GPLD1+Proteomics,INPP5E+Proteomics,ITIH1+Proteomics,ENO1+Proteomics,ECM1+Proteomics,KNG1+Proteomics,ITGA2B+Proteomics,JCHAIN+Proteomics,C1RL+Proteomics,HPR+Proteomics,PRDX2+Proteomics,F2+Proteomics,SH3GL3+Proteomics,PF4+Proteomics,C6+Proteomics,SERPING1+Proteomics,RBFA+Proteomics,C2+Proteomics,ITIH2+Proteomics,FGB+Proteomics,APCS+Proteomics,PLG+Proteomics,IGHM_1+Proteomics,CFI+Proteomics,IGKV3-11+Proteomics,HBB+Proteomics,IGHV4-34+Proteomics,SERPINF2+Proteomics,ITIH4+Proteomics,F10+Proteomics,IGKV3-15+Proteomics,KIF14+Proteomics,CFB+Proteomics,TTN+Proteomics,ATRN.1+Proteomics,APOE+Proteomics,HBD+Proteomics,CLU.1+Proteomics,RYR2+Proteomics,IGLV1-47+Proteomics,PON3+Proteomics,SAA2+Proteomics,C1S+Proteomics,IGHV3-23+Proteomics,THBS1+Proteomics,ALB+Proteomics,TNNT3+Proteomics,INPP5E+Proteomics,CTTNBP2+Proteomics,ABCF1+Proteomics,SERPINA10+Proteomics,CAND1+Proteomics
10,ZN9YTFN-E11,588343.8335,3008389.633,231194.8923,14753255.46,2385086.238,7032.876354,17067.09622,20934222.48,47726.07257,3236403.372,452183.8686,86747569.44,3450.022368,1541197.158,1608729.128,2161183.287,4383038.741,297539.1533,37288.67724,2150618.208,12197.09534,388579.4283,16167.51132,8696599.709,111130.8623,14120325.4,1635896.45,3515674.321,977461.2605,1760275.73,13454915.55,56816.4078,10762127.74,12841585.49,2457193.43,189245007.5,519196.0925,7876.232589,5423264.111,1041412.357,881035.1177,7139838.446,5758.089526,2437667.629,356553.7372,7858704.094,13669.66247,11490514.01,327233.2905,175638.5495,1829553.281,15090633.13,226165.6023,1813040.849,11068527.73,165907055.5,207468.0998,11715295.43,6173597.517,2508094.02,3543049.031,1987440.171,61425.92255,3941135.716,5228117.011,609738.0276,1942805.439,6329.430581,16339267.81,50568.45218,41034.22257,11925116.3,42920.81945,1084598.763,477542.6293,625101.0932,440728.2963,5885852.671,1843658.474,450244.7724,115570.2065,1581482011.0,12656.49228,7876.232589,4658.274691,113039.6987,59157.76797,207288.4203
11,ZN9YTFN-E12,523362.1262,4184517.934,335936.726,19531914.07,2867138.169,127262.6903,25082.24077,23633828.2,58700.69646,3665046.317,523953.7705,94113607.79,16684.10314,1495628.047,1321889.36,2726237.841,4679652.591,281895.3198,38394.44572,2317390.917,13915.25764,202249.9752,42952.06879,7310608.178,129622.802,13124780.87,1817343.876,4377785.994,975992.1375,1473463.61,10872271.1,72770.69657,10887881.99,15922681.71,2307805.165,199405505.3,680417.1598,11927.38371,5750436.338,1139200.299,985960.2784,6553799.016,11877.30191,2992624.838,403572.963,4022357.832,636301.0603,13826666.11,336468.0519,165622.5973,1853846.035,16439806.7,224121.2627,2243018.362,12247296.63,197882665.9,109895.2877,11542160.8,6821936.994,2778471.478,4870775.303,15408253.41,26263.40781,4560909.143,5723475.346,553199.3746,3222837.462,15240.60175,16351843.98,10593.26722,43883.47036,12956385.83,243408.4961,1005659.163,754802.6696,932891.6471,425264.2341,8630723.065,1869304.286,348270.8017,74330.67042,1325546376.0,20421.0581,11927.38371,2920.865073,59137.269,92533.61929,173268.5153
12,ZN9YTFN-E13,416757.8938,2241075.776,225137.991,14270178.05,2059624.634,105731.0801,38750.84098,19895240.46,13543.65962,3503462.443,343976.3856,101002796.7,4461.758239,1404718.872,1411394.635,1780387.69,3416150.253,186015.0725,13667.2939,2295536.594,5818.251724,412690.299,9042.274503,11126064.2,63604.88713,15403341.31,1206143.391,4539305.01,902376.5178,1403794.183,15402487.19,22938.44542,8437417.149,12187678.39,2846445.408,194704366.8,432862.7112,171352.7714,5203568.852,1187997.196,618523.9785,9832862.24,1784.935808,2180156.092,317736.2129,7837325.578,50936.77502,11492584.99,280871.3606,91414.79143,1447819.177,10788418.08,194579.4734,1400761.591,8314165.295,171068631.6,268531.1636,11361106.38,6864960.554,2258948.579,2161258.19,5298637.501,38097.27002,4086402.834,4906320.334,532259.4007,2425347.435,20200.45264,12637782.45,724602.3705,55356.30398,11381599.63,97130.71761,1017748.737,236704.8925,544604.7349,268579.5622,4209244.843,1724264.896,356603.1695,41521.18506,1666795541.0,10780.97473,171352.7714,7544.606806,130113.3979,33945.9067,1706595.833
13,ZN9YTFN-E14,367485.0413,2379689.643,195061.9691,12789699.22,2178299.656,75771.88404,52290.88982,20759005.58,31701.48935,3612990.423,499324.0949,93064589.51,6701.48655,1122440.08,1337659.968,1898929.613,3591350.426,224186.9849,26075.00665,3176269.727,7863.658746,379150.9994,8885.305386,8573530.593,67808.52301,12100002.42,1254279.988,4841219.243,712156.11,1360129.888,13450299.85,20662.99843,8174369.346,11001599.85,2094239.486,175280953.9,262820.9947,146515.0155,4181189.5,986256.2417,777560.8199,7069849.141,9677.737793,1605469.693,255333.9765,11794296.24,48442.61079,10141797.23,242305.0588,165526.9958,1408969.548,9277971.604,199217.9337,1427260.257,9488772.259,161656020.8,399635.9933,9745427.213,5239831.542,2163010.143,2771329.844,3073359.282,65393.29054,3203461.009,4931031.369,360871.0786,1161830.357,57342.09523,13863699.95,870922.0055,9076.384124,9986107.454,77168.58331,823714.0093,153489.0276,532645.0765,259535.9745,3330390.69,1603420.062,236071.9327,25474.40801,1519859693.0,24027.801,146515.0155,2830030.165,144556.0034,52087.51536,1782400.362
14,ZN9YTFN-E15,460901.8395,2330244.651,209151.6712,12907175.57,2008685.127,16148.13575,29322.08353,19133135.72,23609.82946,3421648.189,357885.8554,105313124.5,100798.1755,1337956.703,1323521.316,1705626.113,3549907.495,242825.4315,16348.71925,3216566.311,5343.650735,418480.2467,169489.9259,10117573.54,64371.3007,14023275.19,1427035.704,3958959.835,867148.7693,1312221.651,16030321.23,42506.03297,8539498.995,11598299.8,2569862.964,181064691.5,420262.149,120688.6098,4598366.417,1237871.389,594608.2686,7765244.931,6774.552803,1762448.902,243644.8158,7427575.839,1662.720547,11036734.18,266953.6964,318349.0647,1539905.085,13536298.95,137424.5281,1655206.747,10227569.46,160120190.9,260033.8656,10894298.75,5612141.68,2296204.972,2288736.586,582629.813,50038.81486,3568360.641,5026490.396,514713.4655,2104009.809,15947.36008,14556498.22,477125.7422,47145.09305,10575114.88,4655.393477,1120320.434,226903.6042,518534.3367,316294.7316,2746970.526,1643534.147,307061.9023,118454.2142,1605549501.0,11154.20445,120688.6098,42085.83772,109031.0862,50216.71377,1340165.739
15,ZN3TBJM-E11,320422.071,1962759.531,210792.06,15852301.76,1849429.66,32271.49963,1968.99946,19041502.69,20165.60403,2642399.187,112377.9919,108565991.0,7519.937729,2595660.019,1120019.95,2325410.526,3637598.793,318727.9473,17994.99399,2871250.953,10925.39636,452541.9473,5558.405151,12554802.52,65690.90406,17060895.05,1720840.556,2789200.085,1700260.063,1620880.162,19241994.35,40876.69686,10071002.74,17163696.98,2454150.0,181170020.4,740800.2192,102646.0083,4687859.823,1110540.056,520627.1418,9974056.882,20167.19756,3549440.01,223296.9469,7028220.384,7923.982617,13538898.19,799789.048,417538.8748,1415639.999,16022500.73,331171.0416,1841419.629,10456400.72,164706014.8,277739.9147,8666247.449,10023597.13,2863340.875,3582509.253,1352550.472,129226.9996,3550899.259,5970328.984,1195340.329,2964560.893,12765.20424,11794999.32,478452.1094,63708.09155,5974588.831,22395.6047,1235319.676,258453.9991,751061.2289,282051.0926,16921.10308,1307359.971,570165.808,248436.0484,1538099832.0,10190.49845,102646.0083,21498.29353,105049.0071,78730.1169,1118459.821
16,ZN3TBJM-E12,931928.6639,3635090.874,257656.5959,20020573.98,2540005.165,219178.9921,18266.984,13082999.45,96702.12685,2135777.607,50248.74695,63199946.44,3843.011951,2664733.822,431574.4705,3185746.41,3557962.81,217411.6916,50289.51432,968981.7713,53198.5757,638319.8558,262824.456,11369299.25,199558.195,23845934.73,2139615.308,2621352.611,1792783.692,2301287.819,14962521.66,67606.76523,8725824.338,24544050.15,2069412.761,143420896.5,755168.991,10238.139,3442368.23,677983.2004,700579.8653,6445585.569,19525.88069,6246557.917,402441.6231,1129850.14,658046.4963,19654958.75,512204.3572,924523.2016,1774277.209,11510921.53,6468.700465,1738377.529,8519633.861,268714699.1,153002.956,10891882.59,6777820.504,3951530.19,9553579.848,79862228.82,24010.49066,3561639.334,7216460.636,1234401.252,8816594.03,4644.086602,13270505.58,14887.35669,17275.36492,8514733.822,1237511.07,1518062.754,606727.8459,1609141.763,213371.8013,129355.3322,1577425.02,507630.7717,485809.1038,1296297762.0,18302.58748,10238.139,10839.21813,20118.43734,247071.6579,61197.70795
17,ZN3TBJM-E13,353022.3504,2141573.854,199588.6285,18191737.42,1911163.797,6823.96315,8797.207951,21789805.76,28351.15716,2831097.492,120085.2974,110825144.3,288369.6884,3127199.872,1258357.134,2357473.299,3830204.524,390675.1592,41221.51762,2492133.633,13120.99948,444347.8555,497821.8404,12536488.79,81752.20371,15960582.84,1921391.394,2986553.22,1852227.657,1849725.808,18410174.94,102308.7492,11599425.36,20715825.85,2309165.267,195365434.9,899136.1101,22595.69012,5239762.535,1193088.805,710536.876,10973268.69,45904.56469,3934584.877,219422.2043,13316115.93,6907.461976,15626485.42,744715.5725,713943.3113,1660435.211,18560857.14,337025.9142,2001139.069,11146365.26,177652161.4,238498.3897,8651866.658,11115272.64,3251130.419,4527960.682,1314688.883,129617.4112,3832966.61,6539912.941,1300513.55,2341838.247,13574.67465,13475635.73,66224.61817,56775.46514,6338851.325,21344.84403,1099000.034,275258.9599,714200.6889,289346.7672,33619.4849,1298981.992,741912.7458,258954.6609,1474818221.0,13777.72436,22595.69012,9640.690215,106231.3457,96226.72446,908350.7746
18,ZN3TBJM-E14,362333.8334,2175054.319,209703.2943,18569736.4,1805353.596,7883.553113,14629.27318,22182367.27,28572.70493,2896963.345,106146.7004,113586804.2,83214.65474,3052521.445,1101478.573,2411400.748,3763882.082,235260.5671,35949.14903,2968515.057,10973.98585,323370.8257,23827.17017,13546342.11,60093.86113,16777681.17,1733840.792,2943007.932,1619177.818,1818099.845,18533730.98,56014.78292,11712372.44,18051557.71,2169573.453,190327659.9,816113.3407,72189.43039,5132961.468,1297812.018,576839.3268,9495220.022,8681.743347,4155238.916,220232.8268,12434024.58,7713.01927,14047012.53,736583.7274,793642.6324,1618975.811,17670628.28,344202.9651,1759056.023,10337614.69,177753164.1,255113.5496,8763890.329,9849506.426,3078700.295,4731906.053,1476387.503,134444.3871,3642127.508,6150277.178,1297632.115,2109602.858,14673.54668,12805941.6,487613.9924,59443.44054,6319416.836,35042.30367,1055167.059,307430.3347,765822.223,285689.7994,21927.44352,1256657.44,611990.6135,419380.4255,1490304513.0,11373.27401,72189.43039,3535.904837,96717.54471,70685.17275,1107557.37
19,ZN3TBJM-E15,407946.3763,2444944.016,203469.0733,19047522.19,2132065.013,23206.47858,12315.89804,18846457.04,33115.29294,2514708.945,139723.9686,99386736.76,93366.02228,2937627.421,1401820.309,2759374.805,4155008.507,360910.1021,33800.80534,3605880.111,19210.1345,401497.0884,174713.3107,11227707.12,80593.17224,16107954.87,1735175.311,2540515.79,1643682.251,2045100.059,17151958.68,63041.75161,12049667.49,16586544.24,2361234.671,166248951.4,955939.6395,10033.17084,5136484.996,1202328.757,750706.7867,10088231.84,23013.77451,4041921.858,265407.571,11826173.4,2637.965534,12866978.72,765084.7281,508895.5323,1719061.824,15108530.39,317852.9604,1770284.743,10921063.36,150632726.1,330479.2121,8749990.379,9083393.818,3075778.113,4424122.799,1611653.308,130393.2805,3691255.064,6228528.786,879412.1869,2270643.839,6004.798002,12964560.83,38567.28584,56426.29486,6817446.297,43309.92339,1180216.416,330566.2704,780868.4512,340163.7781,25340.19489,1442430.123,499685.213,223979.9396,1554280776.0,6619.858243,10033.17084,1333.470321,134461.1623,106190.1187,357105.295
20,ZMBVNFM-E11,676181.022,2105074.702,204101.8877,20081587.69,1649514.467,115203.8975,18900.93521,18848024.71,31320.29108,1820823.939,159799.1269,91217038.76,32347.12789,4832003.269,1312503.646,2045482.835,3801717.762,393177.1624,11719.63485,2581091.759,11139.91033,606870.8503,17400.60684,12556926.07,104871.9989,16372939.25,2089939.864,3250679.747,1992488.546,2176109.918,13081367.23,73318.51778,14196874.37,18988070.82,1948739.745,161505717.7,1299378.222,4573.407981,7076722.906,1429163.952,776356.6296,10871894.31,34876.31515,4628489.441,229097.1522,4227607.472,125422.7907,14442027.91,187882.3476,400654.7347,1627673.609,18525639.38,281241.5061,1928783.789,16079843.17,137281311.5,247433.2746,14668926.91,20345832.82,2450780.76,2503578.047,8556147.958,73703.21848,4264070.913,4715371.476,1304594.481,998629.5002,9080.273266,8986762.221,7007.534833,62430.78561,9873567.362,201683.0059,1334076.531,315825.9083,177594.8228,418396.1353,42844.13189,1353937.77,461509.2377,124531.3973,1788793866.0,11941.36193,4573.407981,6765.402252,184495.9984,103302.812,378540.9889
21,ZMBVNFM-E12,625071.1971,1956189.903,185075.9617,19734395.61,1568399.874,132411.968,36014.89306,18985899.29,31492.59455,1827430.362,162188.05,101207993.6,43116.69572,4092131.285,1191050.373,1762689.581,3537709.12,417480.1275,14810.90319,4127160.176,6340.570768,315767.9015,3210.669209,9792630.375,77872.10475,15813199.9,2131769.466,4232439.455,1843910.243,2022039.851,14402001.63,65850.9211,16427595.58,19138600.48,1626959.604,134768024.7,1150260.344,96779.30779,7369697.641,1188699.812,679380.8371,10779896.57,30860.91036,4557480.333,183765.9565,6257669.354,41396.60975,14710204.83,162225.0404,381008.0622,1487180.162,21535403.21,303790.0305,1812629.954,16284702.18,130838964.0,267860.0684,13743203.54,18085899.3,2360640.63,2524429.575,7294188.236,88618.11383,4119349.203,5294430.217,937366.0383,1077039.701,28578.9046,9030071.623,296877.0408,61447.08707,9689521.555,162387.9437,1190730.094,251232.0505,203657.0173,388880.1311,37246.20972,1270350.348,588755.8646,114234.0328,1658830118.0,16106.49548,96779.30779,758.0441153,126505.0104,76605.58731,1056209.799
